,RESPONDENT_ID,Code1,Code2,Code3,Code4,Response
118,2505,1,,,,We need to remove the unstable fascist that Trump has proven himself to be.
119,2506,11,,,,None
120,2511,11,5.0,8.0,,I can't think of any good reason to support Joe Biden. He is a career politician and in 47 years has done nothing to improve life here in the USA.  He was part of the diabolical ACA health care plan that caused many to enter into bankruptcy due to high deductibles.  With Covid-19 wasn't the ACA considered a plan that you could get healthcare if you lose your job?  Why are people going without?
121,2515,11,,,,There is no good reason to support him.  he only picked a woman to get votes
122,2518,1,,,,He is not Donald Trump.
123,2520,12,,,,I would not be voting for Joe Biden because he's too old to be president
124,2523,13,11.0,,,there really is no reason to support him to regaurdless he is to old and the vise president will be doing all of his work and he has already shown he is going to be a radical socialist
125,2527,11,,,,I have absolutely NO reason to support Biden
126,2532,1,,,,not trump
127,2535,2,13.0,1.0,5.0,"He conducts himself professionally, and is a fair person. He does not just work for the wealthy - like Trump does."
128,2540,3,4.0,,,Unite the country.  Voice of reason
129,2541,1,11.0,,,"I do not support him, but you only gave me two choices. I refuse to vote for President Trump because he is proud! I will vote for Kristi Noem because she knew the coronavirus was exaggerated and  the only governor in our country who obeyed our constitution."
130,2547,12,,,,Joe Biden is an honest and upstanding  individual. He is not bitter and hateful like the current president.
131,2549,2,,,,Because he is an honorable man.
132,2553,9,6.0,8.0,2.0,He has is a compassionate and empathic person who can relate to everyone. No matter their political beliefs. He has a plan for healthcare and getting a grip on the Corona Virus. I feel he will be able to reach across the aisle and work with the Republicans.
133,2555,4,5.0,,,He has a better understanding of America; he will put people in his cabinet that are knowledgable.
134,2556,11,3.0,5.0,12.0,"There is no reason to support Biden for President.  He is too old and is totally clueless as to what is best for the country.  He will play the political game, like every other President has."
135,2558,8,3.0,6.0,,"He's out for unity, healthcare, help the lower class and help control the covid 19 crisis"
136,2559,11,,,,there IS NONE
137,2561,99,,,,I really can't say.
138,2567,11,,,,None
139,2568,11,,,,NO REASON
140,2610,11,,,,There is NONE!!!!!
141,2615,1,,,,He is not Trump
142,2617,1,,,,He is not trump and I voted fit the idiot
143,2622,1,,,,He is not Donald Trump who is an embarrassment for the UNITED STATES  all over the world.
144,2624,1,,,,Because anyone is better than Trump!
145,2626,97,,,,He has a corvette
146,2629,11,,,,Nothing
147,2635,97,,,,Best option to allow for further organizing to push the country leftward
148,2636,1,,,,I love joe biden and absolutely hate trump
149,2638,1,,,,Not Trump
150,2643,1,,,,To remove trump before he does more harm than he has already.
151,2648,98,,,,No reason exists
152,2656,11,,,,None
153,2662,99,,,,I dont
154,2672,1,,,,Because anyone is better than Trump
155,2682,11,1.0,,,"I have read his platform, some of it could be life changing."
156,2685,1,,,,Trump has made too many horrible decisions and isnt fit to lead our country to prosperity.
157,2686,3,,,,He represents our country well
158,2689,97,,,,Unite America
159,2696,7,8.0,,,The reasons that effect me the most personally are strengthening Social Security and the support of the ACA and Medicare.
160,2701,9,,,,If he can get the jobs back from all over the world. That would be my best reason.
161,2705,11,,,,I can't think of a single reason.
162,2715,1,,,,Because Trump is a useless clown
163,2721,97,,,,BECAUSE I FEEL LIKE HE WILL BE BETTER ABLE TO DEAL WITH THE COVID CRISIS AND GET THINGS MOVING AGAIN
164,2726,97,,,,The left won?t riot and loot and whine if Biden is elected
165,2728,2,11.0,,,I don't see any reason to support Biden for President. He lies to our faces. He says one thing and does an about face and does exactly what he said he would not do. Biden and his family have become wealthy on the back of working people. He sent our jobs to China. Now we have to work to get them back in the U.S. Biden has not done anything for the American people for 47 years. I would not reelect him if he was the only person running for the office. Joe bailed out the car manufacturers when the economy tanked the last time and did not give anything to the working class people except loss of our AAA credit rating from the world bank the loss of our jobs. Our national debit was only claiming through the roof but for Joe it was business as usual.
166,2737,3,,,,"This country needs to be united, love one another and stop the corruption, lies and hate"
167,2743,11,,,,nothing
168,2746,2,,,,because he is the better person
169,2747,1,,,,Donald Trump is an idiot.
170,2753,11,5.0,13.0,12.0,"There is no reason to support Biden.  He is a racist and a liar.  He has had 47 years to do something in Congress and has nothing to show for it.  He stood with Robert Byrd who was a Grand Klugel in the KKK and he voted against prison reform.  He is a weak leader with no plan, he will be run by the radical left of the democratic party.  He doesn't support police.  He and his son are totally corrupt in their dealings with Ukraine and China.  He stands for nothing and basically he is senile.  He can't talk without a teleprompter.  He can't lead the world as an American president should.  All those arguments you listed on the previous page Trump has already done and more.  Trump can make deals and get things done.  Biden is just a corrupt senile politician."
171,2754,12,,,,"he will keep ss and not destroy,it"
172,2755,1,,,,The best reason to support Biden is to get back to normalcy. Reestablish our relationships with our allies.
173,2758,5,,,,He is a decent American with leadership qualities that make him the best candidate to lead our country and make decisions for all Americans.
174,2763,11,,,,There is absolutely no reason at all to support him for any office.
175,2764,11,,,,there is none
176,2768,1,,,,we have to get Trump out of office and get the country back to work
177,2769,97,,,,"Joe Biden isn't a buffoon, a liar, a megalomaniac. Joe Biden believes that America can be better for ALL of its citizens, not just the rich."
178,2771,98,,,,No good reason
179,2774,2,,,,He is a man of both compassion and integrity
180,2775,11,,,,No reason to support
181,2778,97,,,,Biden is more level headed
182,2779,1,,,,Trump is out of control
183,2784,11,,,,Nothing.
184,2786,5,,,,"He is more likely to listen to those around him who are experts, even if he does not know for himself."
185,2789,11,,,,none
186,2794,1,,,,To make sure we don?t have to endure 4 more years of Trump.Our Country cannot afford it.
187,2796,6,,,,Support of the middle class
188,2797,97,,,,Not as chaotic
189,2802,11,,,,No reason to support at all
190,2806,97,,,,is running mate
191,2808,1,,,,HE DOES NOT HAVE THE LOUD IGNORANT MOUTH THAT TRUMP HAS
192,2811,6,,,,restat the working class
193,2816,12,7.0,3.0,,He isn't trying to take my livelihood away (social security disability). He will unite the country. He will get medical and prescription drug costs to a much better level. He will increase SS pay. He will improve the environment.
194,2819,2,,,,He is honest
195,2820,11,,,,would not support
196,2826,1,,,,i cannot think of any reason to vote for biden
197,2831,5,12.0,11.0,,"none , the man is to old and has a medical problem , he is just a puppet for AOC."
198,2832,97,,,,If he dies in office there would finally be a woman president but I personally don't think it would count as she herself alone was not elected to the position.
199,2833,2,,,,He has a likeable personality
200,2834,11,,,,There is no best reason to support Biden for President!!!
201,2835,5,,,,He has walked in my shoes!  He has a passion for people.
202,2837,2,,,,"Political experience, has good character, conduct and has integrity"
203,2839,1,,,,I would vote for anyone but TRUMP   TRUMP is a joke
204,2840,3,2.0,,,He?s honest and it?s clear he cares about other people
205,2850,4,3.0,5.0,,"He is a strong leader, he is calm, he has common sense, he cares about people"
206,2859,1,,,,We need someone who is not owned by Russia and someone who will do what is best for the country and not just what is best for his family.
207,2862,3,,,,To reunite the country
208,2867,8,7.0,,,Wants to help with Healthcare and social security
209,2871,7,,,,for healthcare first with keeping pre-exisitng conditions and 2nd to preserve social security
210,2876,11,,,,There is no good reason
211,2882,5,2.0,,,He has worked in politics his whole life and knows how to compromise. He won't bully people into doing what only he wants.
212,2885,3,1.0,,,Are none that I can thing of since voting for Trump is to vote not to have Biden personally can not stand him and his politics
213,2891,1,,,,"There is no reason 8n heaven or on earth to vote for joe Biden. He?s a pedophile, liar, and in bed with the chinese"
214,2895,8,,,,To make sure Americans get the best healthcare.
215,2896,1,3.0,5.0,2.0,He is  honest person who is very experienced. He will will be  a true leader and a President that we can be  proud of. He's the person that will Bring us back together again  instead of being so divided.
216,2911,97,,,,Restore law and order and remove a corrupt administration
217,2912,8,7.0,,,He wants to protect Medicare and Social Security and keep healthcare costs down and lower drug prices.
218,2913,97,,,,I HAVE ABSOUTLY NO REASON TO SUPPORT BIDEN FOR PRESIDENT!
219,2915,1,,,,"If you believe in getting nothing done, telling lies. abortion, racial division, inequality, need I go on? You should not under any reason vote for Biden!"
220,2918,4,,,,"He is a measured,calm leader with proven experience."
221,2919,4,,,,I testify sanity
222,2921,1,,,,"Because Trump only cares about himself and people are dying, race relations are worse than ever, etc."
223,2922,1,,,,Because he?s more fit for president than Trump
224,2924,99,,,,I can think of anything.
225,2926,1,,,,Vote for Trump
226,2935,1,5.0,,,He's the better candidate and more professional
227,2936,5,1.0,,,I cannot support trump after seeing what hes done and how he has acted in office.
228,2939,97,,,,because he will put a stop to all the drastic cuts for environmental protections
229,2943,11,,,,There is no reason.  At all.  None.  Zero.  Nada. Nyet.
230,2945,2,,,,He is fair and honest
231,2950,1,11.0,,,"there is ""NO REASON"" to support Biden after he, Obama, and the Democrat Party were complicit in trying to remove a duly elected president from office with a political coup!"
232,2952,97,,,,Presentation
233,2954,11,,,,None
234,2958,11,,,,There is no best reason
235,2965,5,1.0,,,"He is a career politician and with what Trump has done to America, Joe Biden is who we need to get America back to the great country it has always been."
236,2966,4,,,,absolutely NO reason
237,2971,11,,,,Nothing
238,2983,7,,,,Saving social security for the retired.
239,2985,97,,,,very good
240,2990,99,,,,his personality .
241,2992,6,,,,I think is more for the people
242,2993,5,1.0,2.0,,"He is honest, has past experience and Trump has got to go"
243,2995,5,,,,He?s a puppet
244,2996,3,,,,I feel he has the ability to unite the country and not just look out for himself
245,3000,1,,,,"i would vote for anyone besides trump.  We, as a country, cannot handle four more years being led by him."
246,3005,11,,,,i only support trump
247,3008,11,,,,nothing
248,3010,5,3.0,,,I trust him to lead the country. He served under Obama and I believe that Obama knows how to lead the country. If he trusts Joe than I trust Joe.
249,3011,97,,,,"Biden's plan will work for the people and community, not just for money and recognition."
250,3016,97,,,,He has the same values that I have
251,3018,99,,,,His beliefs are what I believe in.
252,3027,5,13.0,,,He understands and he does not take our country not his job a joke
253,3033,4,1.0,,,"Because Trump is a foul mouthed racist pig, Biden is an intelligent upstanding human being"
254,3037,11,,,,There is no good reason.
255,3042,1,,,,"Really, he was not close to the top of my choices from the Democratic nominees, but he is better than Trump."
256,3043,97,,,,"More qualified, dignified and capable of being President"
257,3056,1,,,,"There is no good reason to vote for Biden. He would be a better choice than Trump, but it's better than nothing."
258,3057,9,1.0,7.0,,"I just think that he would lead without controversy. I feel that he will be very diplomatic unlike Trump. I believe in Biden's ideas to protect social security and nominate fair judges who will uphold civil rights and the Constitution. With the help of Kamala Harris, I have all faith in Joe to step into this position and give it all he has."
259,3061,11,,,,Nothing
260,3063,97,,,,I don't know.  He scares me but Harris scares me even more
261,3065,1,,,,"Joe Biden may not necessarily be my first choice for president, but Trump is too dangerous to keep in office."
262,3068,11,,,,none for me
263,3069,1,,,,Trump is not nd has not been doing a good job
264,3077,13,12.0,,,There is none he is to old and weak as a leader
265,3080,1,,,,Get rid of Trump
266,3083,1,,,,because one does not like Donald Trump
267,3087,97,,,,"He has a plan for affordable housing, which will help people like me and so many others, and will go such a long way to decreasing crime and improving health"
268,3088,2,13.0,,,"he is empathtic, he tells the truth, he isn't a bully"
269,3089,98,,,,He supports global warming.
270,3090,1,,,,get trump out
271,3091,1,,,,he won't shoot his mouth off as much as Trump does
272,3093,11,,,,"There is no good reason to support Biden. He supports abortion and other practices that are against personal beliefs. When it comes to running mate Harris she is for abortion all the way til birth, which is murder."
273,3096,2,4.0,,,He is not a liar and seems reasonably competent
274,3099,1,6.0,,,"I want a president who is a unifier, not a divider. I want someone who will make our country strong again and a world power to be taken seriously. I want someone who cares about all people and protects the poor and less fortunate. And, I want someone who is strongly pro public education."
275,3100,13,,,,I find no reason to support him because he will be a puppet to the radical left agenda in Congress at this time.
276,3104,11,,,,Can not think of anything.
277,3112,11,,,,there isnt
278,3113,11,,,,I won't support him.
279,3114,8,11.0,,,My main reason for supporting Biden would be because of his support of affordable healthcare.  I would like to see a universal healthcare system.
280,3115,2,13.0,3.0,,"I like what he says about manufacturing and rebuilding our economy in the midwest and be conscious about using /buying American made products.  But, I'm not sure I trust what he says and that HE will really be running the country.  I worry that he is too much of a puppet to the far left and will lead us more toward socialism."
281,3118,97,,,,I don't  support Biden for President
282,3122,2,,,,He holds more respectable manners and the ability to do what is right for the American people
283,3124,12,,,,he isn't Drumpf
284,3126,97,,,,he isnt racist
285,3128,11,,,,I cannot think of one!
286,3129,99,,,,Our lives depend on it.
287,3130,11,,,,none
288,3132,11,,,,None what so ever
289,3137,11,,,,There is no reason to support Joe Biden
290,3141,97,,,,Corona virus handling
291,3148,9,,,,"if you hate America and freedom, vote for Joe and the female"
292,3149,1,2.0,,,"He is honest and caring and won't lie to us as our current president does on a daily basis. He'll work, not golf."
293,3152,12,1.0,9.0,,He is the better choice to try and unite the country from the damage that Trump has caused. I think he could possibly try and get the economy back up and to move on from the virus.
294,3157,1,,,,trump
295,3160,11,,,,None
296,3166,1,5.0,,,"He has experience in office, when America was doing well. He was VP under Obama, who I find very well mannered and not insane like trump is."
297,3167,1,,,,Because I would like to see anyone other than trump in office.
298,3173,11,,,,"I can't think of a single rational reason to support Joe Biden. If I were a criminal, an illegal alien or a person living on welfare I would consider those criteria as a reason to support Joe Biden."
299,3174,2,5.0,,,he has a calmer manner and knows the constitution and has the experience needed
300,3175,11,12.0,,,"There's no reason at all to support Biden for anything, he's to old and is losing it Mentally!!!"
301,3177,11,,,,There is not a good reason
302,3178,97,,,,good
303,3185,97,,,,Scared
304,3199,6,2.0,,,"He is an empathetic person who truly cares about others, especially the middle and lower class."
305,3204,11,,,,Not a dang thing!
306,3209,11,,,,There's no reason. I can't even go there.
307,3213,97,,,,Knows rights and respects the country's constitution
308,3215,1,,,,He is a better alternative then Donald Trump.  I am a republican and have been all my life.  I have only voted for a democrat for president once and that was in 2016.  Donald Trump does not belong in the white house.
309,3217,13,5.0,,,"He?s been in office before, even though he did nothing."
310,3225,1,6.0,,,trump is out to help himself and his rich friends. biden is for the lower and middle class trying to make our lives easier.
311,3228,11,,,,The is absolutely no reason to support Biden.
312,3239,11,,,,There are no reasons to support Joe Biden for President
313,3241,10,,,,He will end the coronavirus pandemic
314,3243,97,,,,Stable personality
315,3246,11,,,,There is no good reason
316,3248,6,5.0,,,He is more stable and talks to the people
317,3249,3,,,,Rebuild this country
318,3250,1,11.0,,,"I loved joe as vice president, I voted for him and Barack before. I do also believe Jill would make a better first lady.  I don't think joe would be tweeting like trump does. and I dont think he would be saying such dumb things as trump when he talks to people either"
319,3251,6,,,,I believe he understands the middle class more
320,3254,99,,,,don't know
321,3256,97,,,,moderate
322,3260,97,,,,He proposed ideas that align with mine
323,3261,1,,,,He is not trump
324,3262,1,,,,Becaues Trump is unstable and not right in the head
325,3264,98,,,,Can't think of one
326,3267,12,,,,He is not so devisive
327,3273,2,11.0,,,there is no good reason.  the guy is horrible and uneducated and lies
328,3275,1,,,,To get Trump out of office
329,3276,13,,,,He will not embarrass our country with his crass behavior as Trump has done.
330,3277,6,5.0,,,He is more stable and Serbs to be looking out more fir the average midfielder and lower class citizen
331,3282,11,,,,none
332,3286,11,,,,nothing
333,3287,99,,,,Best of two evils.
334,3295,97,,,,Because you are a fool who can't think for yourself
335,3297,11,,,,no reason
336,3300,11,,,,there isn't any!!!!!!!!!!!!
337,3302,1,,,,To get Trump out of office
338,3316,11,,,,I really can't think of any reason to support Biden
339,3317,5,,,,Need to have a stable experienced person as president.
340,3318,97,,,,Biden
341,3322,97,,,,BECAUSE YOU HAVE NO CHOICES EITHER WAY.I CANNOT BELIEVE IN THIS COUNTRY W/ ALL THE SMART PEOPLE--WE HAVE NO ONE--TOTALLY DISGUSTING.and this survey gave me no way to really say how i really felt until now
342,3323,11,,,,THERE IS NO BEST REASON.
343,3325,11,,,,I can think of no reason to support the overtaking of the current American society and rewriting the constitution to make us a socialist country.
344,3333,7,,,,To protect Social security and to end Coronavirus.
345,3337,11,,,,None
346,3345,4,,,,His policies
347,3349,4,2.0,1.0,5.0,"He has the experience, the smarts, and he is a functioning adult.  Trump needs to get out of office.  We need to get America back to the world status that it was 4 years ago."
348,3360,2,,,,he want a fair government
349,3361,2,,,,He will listen to and consult with the experts to make the best decisions
350,3363,11,,,,There is not one
351,3366,3,,,,He cares about us!!!
352,3369,1,,,,"Honestly, anyone is better than Trump. His reign has us going in a terrifying direction."
353,3372,97,,,,Not racist
354,3378,97,,,,Free college for my children
355,3379,1,,,,Hes not trump
356,3381,2,,,,He is a good fit
357,3383,98,,,,No
358,3385,1,4.0,,,He speaks directly to the public not rant and rave. He gives facts not gives facts as he sees them like Trump. He is calm and collected in adverse situations and doesn't rant and rave like he did in the debate. So much of what Trump has said has been proven wrong. How can you believe or depend on a person like that.
359,3392,11,,,,there is none
360,3395,11,,,,There is no reason to consciously support Biden.
361,3397,97,,,,Very good work
362,3401,5,,,,He will probably die in office.
363,3416,1,5.0,,,there is none he has had 47 years to change the United States and is not a strong leader.
364,3423,2,,,,He is honest and does not divide people.
365,3425,97,,,,improve our country
366,3428,13,1.0,,,President Trump stands for this country our military and is not controlled by the liberals
367,3429,4,3.0,,,He's not an incompetent pathological liar and is not an active threat to democracy in the US
368,3434,1,2.0,,,He is honest...and not Trump and his minions
369,3447,1,3.0,,,He will save the country from the chaos and issues Donald Trump has made worse or created
370,3448,1,,,,You want a woman to be President.
371,3449,98,,,,no good reason
372,3450,97,,,,Nothing unless you like socialism and Alinsky
373,3454,2,,,,he seems trustworthy
374,3455,99,,,,Joe Biden has better tax brackets.
375,3459,97,,,,Stable what the Republicans used to be
376,3460,1,,,,He?s not Trump.
377,3462,11,,,,none
378,3474,1,,,,Trump is a disaster.  The country is in crisis under his administration and will only get worse if he is elected.
379,3476,1,,,,He is a better man than Trump
380,3477,5,,,,he is more understanding
381,3479,97,,,,DOWN TO EARTH PERSON
382,3487,5,,,,He is a better speaker and less rude.
383,3489,8,,,,"If I lose coverage for pre-existing conditions, I will be dead within a year."
384,3507,1,2.0,,,"Donald Trump, He is a well man and politician."
385,3513,11,,,,None
386,3515,99,,,,Would never support Biden.
387,3516,97,,,,"The division in this country currently, is frightening"
388,3518,2,,,,because he is very good man so i like
389,3526,4,5.0,,,"He has experience and is level headed,coherent and sane."
390,3527,98,,,,Can't think of any
391,3531,11,,,,nothing
392,3542,11,,,,I can?t support he?s creepy
393,3543,3,,,,He understands how to unite the country instead of dividing it more.
394,3546,11,,,,There are no good reasons to support Biden
395,3552,11,13.0,12.0,,There is NO reason to support Biden.  He is senile.  He is a radical liberal.
396,3553,11,,,,No reason to support the lying POS
397,3558,11,,,,NONE
398,3575,5,6.0,,,"He is the best candidate and cares about the middle class people.  Or better yet, just people in general!"
399,3578,5,2.0,,,"Because he is honest, sincere and a true leader that is experienced and ready  to bring our country back together again. Joe Biden is a person if elected that we all can be proud to call our President."
400,3580,97,,,,gyihkjkh
401,3584,13,,,,He supports values of the democratic party. He would bring respect back to the U.S.
402,3589,97,,,,I can't find any reasonto support mr  biden
403,3592,4,2.0,,,"He is an empathetic, strong person that has the necessary intelligence and experience to get this country to where it should be for it's people and the world."
404,3594,11,,,,none
405,3596,11,,,,That he will support my community and not increase the divisiveness that this country has achieved
406,3599,3,,,,Biden will unite our country. He cares about the average man.
407,3603,1,,,,Trump is stupid and a liar
408,3605,11,,,,None
409,3606,8,,,,Healthcare
410,3608,4,,,,It is not he is incompetent
411,3614,12,1.0,6.0,,Donald Trump is an embarrassment and a bully.  He is disrespectful.  Joe Biden is soft spoken and cares about all Americans.  We need a good man to replace Trump so we can stand tall and proud together.
412,3616,2,,,,"That he is honest, and has empathy"
413,3619,4,,,,he's not crazy stupid
414,3621,99,,,,He doesn?t lie to the people with every word he speaks.
415,3625,5,1.0,,,"Because Trump is an incompetant, dangerous leader.  Biden has specific goals.  Trump only has ego."
416,3632,11,13.0,,,THERE IS NO REASON TO SUPPORT BIDEN. HE IS NOT MENTALLY STABLE AND WOULD HAVE TROUBLE RUNNING THE COUNTRY WITH BEING THE PUPPET FOR THE DEMS.
417,3633,11,,,,none
418,3636,97,,,,"To bring the country back to what we were before honest, and very calm"
419,3637,11,,,,none
420,3642,2,1.0,,,He is not a bully like Trump. He is respectful of people.
421,3648,11,,,,i have no reason
422,3649,5,1.0,,,The country is due for a change. Trump wants to take us to a direction of dictatorships .He is a bully and doses not want to listen to  anybody. He is a disgrace to the Republican party and   to the American people as a whole.
423,3650,11,,,,"There is no good reason to support Biden for president, he is a stupid idiot not fit to run a dog kennel"
424,3652,4,,,,I think he is very presidential in his actions and his words.
425,3654,97,,,,To end the COVID-19 crisis and end the divisions in this country
426,3656,97,,,,More personable
427,3666,97,,,,Because of his running mate Kamila Harris
428,3672,5,7.0,,,I support Biden for President because I feel he has the best plan for healthcare and protecting the social security program.
429,3677,3,,,,bring people together
430,3682,4,,,,"He's not crazy, racist or homophobic"
431,3688,2,,,,He?s a real person not a television personality
432,3690,1,,,,I dont im voting for trump
433,3696,3,,,,can unite the country not divide it
434,3702,1,6.0,5.0,,I believe he will make a great leader and understands the needs of the middle class and poor.  I also think President Trump has some mental issues and should not be re elected.
435,3717,3,2.0,,,He is a proven performer with decency and normalcy who will bring us together.
