RESPONDENT_ID,Code1,Code2,Code3,Code4,Response
1000868,36,,,,not sure
1000869,27,,,,Still not a visible leader
1000871,18,,,,"A pompous, over confident buffoon. I haven't changed my mind."
1000873,,,,,
1000874,,,,,
1000876,,,,,
1000879,,,,,
1000881,,,,,
1000882,99,,,,Il semble Ãªtre un bon gars avec les idÃ©es claires.
1000883,,,,,
1000886,35,,,,Conservative
1000887,99,,,,don't know
1000888,19,,,,Wolf in sheep's clothing
1000890,9,,,,honest hard working business minded person
1000891,,,,,
1000892,,,,,
1000893,,,,,
1000895,,,,,
1000896,35,,,,"He wonât support every day Canadians, but big business. He is more conservative in his actions than I am comfortable with. He is not right for Canada."
1000897,,,,,
1000898,,,,,
1000899,34,,,,Need to hear more from him
1000900,,,,,
1000904,,,,,
1000906,6,,,,Questionable.
1000907,,,,,
1000908,,,,,
1000909,,,,,
1000910,97,,,,Laisse Ã  dÃ©sirer
1000911,97,,,,For the people
1000912,,,,,
1000914,,,,,
1000916,,,,,
1000917,30,,,,too radical
1000918,29,,,,NE SAIT PAS
1000921,,,,,
1000922,,,,,
1000923,25,32,,,A dictator who is only working for the rich and big business. Another Trump
1000924,,,,,
1000925,20,,,,ConnaÃ®t pas
1000927,,,,,
1000928,24,,,,not ti be trusted.
1000930,,,,,
1000932,,,,,
1000935,,,,,
1000936,10,,,,Interesting. Might need to look into more.
1000937,97,,,,Un homme d3 changement
1000938,,,,,
1000939,24,,,,Not trustworthy
1000940,97,,,,"J'espÃ¨re quL,il ne va pas rÃ©pÃ©ter les mÃªmes erreurs du passÃ©"
1000941,,,,,
1000942,,,,,
1000946,35,,,,all about business and the wealthy just like most conservative leaders
1000949,22,,,,"Heâs socially progressive but needs to speak out against racists, homophobes, anti immigrant, transphobic people in his part"
1000951,,,,,
1000952,1,,,,Laid back
1000954,,,,,
1000955,,,,,
1000957,99,,,,I donât know much about Erin OToole
1000963,,,,,
1000966,21,,,,Awful
1000967,97,,,,He has good intentions for the country but he still focuses more on the rich
1000970,34,,,,"He spends way more attention and money on those individuals and corporations who are rich and are horrible for the environment. He cares about money, image and creating a perfect society, but underneath this society is thousands of people who donât have the money or resources to acquire basic necessities. He may state that he supports LGBTQ and other minorities but he doesnât actually do anything to stand with them or improve access for these people."
1000974,12,,,,Head strung
1000975,,,,,
1000978,99,,,,I donât know
1000979,,,,,
1000980,97,,,,"I think that Erin is a good person and a good fit for the election, but despite all the positive I still side with the liberals"
1000981,,,,,
1000982,5,,,,Good
1000987,,,,,
1000989,,,,,
1000990,24,,,,Untrustwrothy
1000997,97,,,,dsgsd
1001006,35,,,,More liberal and approachable to my generation than I thought
1001015,,,,,
1001017,12,,,,Perfect leader
1001019,,,,,
1001020,36,,,,Meh
1001032,20,,,,He seems like a tool
1001033,,,,,
1001034,14,5,,,"Good ideas, not sure it would work well in Canada"
1001035,,,,,
1001038,,,,,
1001061,18,,,,a wealthy asshole with no respect for anyone but himself and the rich.
1001062,,,,,
1001065,97,,,,Would be a decent priminister
1001066,97,,,,Nanbshs hshshsh
1001069,,,,,
1001070,,,,,
1001073,21,,,,Outgoing
1001075,22,,,,"Racist, will cater to the rich. In the process of fixing our economy, he might cost a lot of people's jobs and financial security"
1001076,33,,,,A politician that tells people lies
1001082,,,,,
1001084,,,,,
1001092,36,,,,No opinion
1001096,,,,,
1001097,,,,,
1001100,22,19,,,Heâs a racist. Doesnât believe in what he says and only is saying âhe supports abortion and likes same sex marriageâ for show. Heâs mot sincere
1001105,,,,,
1001107,,,,,
1001112,,,,,
1001117,97,,,,A citizen trying to help other citizens
1001122,13,,,,"Has to make hard decisions, will be demonized no matter what for the label he falls under. Everyone will judge him as an evil person because he is under the Conservative party. Everyone will forget Liberal Party blunders easily but will criticize and demonize the Conservative party's mistakes. Erin O'Toole seems to have a good background to shape him for federal leadership and may be able to make the tough calls with the right amount of flexibility."
1001124,,,,,
1001125,12,,,,he is a family man.    he  is a leader .    he can get he ecomony on track again
1001127,30,29,,,"A far right, partisan politition that is looking to gain power by lies and reteric"
1001128,,,,,
1001130,,,,,
1001131,34,,,,Nothing positive to say here
1001132,,,,,
1001134,35,,,,Conservatives are terrible. Iâll never need anything to change my mind on that. And everything ive read supports that.
1001136,98,,,,Nothing
1001137,24,,,,Untrustworthy
1001141,,,,,
1001142,,,,,
1001143,34,,,,Not for me
1001145,,,,,
1001146,,,,,
1001147,34,,,,He does not have the peoples interest at heart.  Peroid!
1001149,,,,,
1001154,,,,,
1001155,,,,,
1001156,97,,,,Someone that well make cuts that do not benefit the country and is not in touch with the common Canadian
1001157,34,15,32,,Like I said he is a Trump wanna be! He should move to the U.S and become a member of the Republican Party. We dont want him here!
1001159,34,,,,I  do not pay much attention
1001160,14,,,,Un danger pour lâavenir du QuÃ©bec et du Canada.
1001161,,,,,
1001162,36,,,,He is all for big business and doesnt care about the average canadian.
1001164,,,,,
1001165,36,,,,Rien
1001166,23,,,,CROOKED
1001168,97,,,,Someone who is more economic rather than socially driven.
1001169,,,,,
1001171,,,,,
1001172,97,,,,Doesn't care about the middle class.
1001174,,,,,
1001175,,,,,
1001176,36,,,,If it was true what I read then some things I agree with and somethings I donât
1001177,,,,,
1001178,,,,,
1001179,36,,,,He is ok
1001180,,,,,
1001181,,,,,
1001182,,,,,
1001186,,,,,
1001187,,,,,
1001189,12,,,,strong leader
1001191,,,,,
1001199,20,,,,inutile
1001201,97,,,,"He sounds like someone who is for the better of the country, Iâm sure he has flaws but donât we all"
1001203,98,,,,Nothing
1001204,,,,,
1001205,,,,,Pour les entreprises et pour les coupures en santÃ©. Pour l'avortement et le mariage gai. Pour un chef pour le citoyen ordinaire
1001206,27,20,,,A party killer. Too extreme in views. Not good for a democracy. Views of him alot worse. Can't work with others and disrespect
1001207,97,,,,nc
1001210,97,,,,same as all other
1001212,5,,,,Fantastic
1001213,,,,,
1001215,97,,,,I STILL THINK HE WOULD BRING US BACKWARDS NO MATTER WHAT HE SAYS AND THAT HE WOULD BE A TRUE BLACK SPOT FOR CANADIANS BRINGING REAL HARM TO THE COUNTRY
1001216,27,,,,not my leader
1001217,,,,,
1001218,26,,,,Wishy washy. Willing to pander for votes. It's nice that he used to be in the RCAF.
1001219,30,,,,Far-Right extremist
1001220,20,,,,He is a tool.
1001221,,,,,
1001225,,,,,
1001226,97,,,,Better then I thought
1001227,,,,,
1001230,,,,,
1001231,36,,,,I'm not sure
1001232,36,,,,*********
1001233,,,,,
1001234,,,,,
1001235,7,,,,Energetic
1001236,,,,,
1001237,,,,,
1001239,,,,,
1001240,13,,,,"A reasonable leader, but too focused on business."
1001243,36,,,,Not sure
1001244,27,,,,should not be the leader of this country
1001245,,,,,
1001247,,,,,
1001250,,,,,
1001251,36,,,,ok
1001253,,,,,
1001254,,,,,
1001255,36,,,,not sure
1001256,97,,,,looking out for #1 and the wealthy
1001258,97,,,,a man with a plan
1001259,,,,,
1001260,22,,,,"A typical bigoted conservative that's motivated solely by money. He may talk like he's progressive and open-minded, but his decisions show that he's the same as previous conservative leaders, and his interests are entirely motivated by money."
1001261,,,,,
1001263,97,,,,"its a great story, feel like i'd like to learn more"
1001264,33,,,,Typical politician
1001270,15,35,,,"Not everything I read is true.  Liberals and NDP have long history of lies (conservatives Lie as well, but a bit less often).    I see Erin as a down to earth CDN who know what it means to work hard to get ahead.  I don't see him giving hand outs as much as the Liberals.  NDP would turn Canada into a completely socialist country - which is where the Liberals are headed.  AS much as I do have some doubts about Erin O'Toole, I trust him the most to keep Canada a Capitalists' society, and encourage people to work for what they get."
1001271,,,,,
1001272,,,,,
1001273,10,,,,Smart
1001275,30,5,,,"Un peu comme je pensais, c'est un ""bon"" bonhomme en superficie, mais il dirige tout de mÃªme un parti Ã  droite, donc, il ne peut pas penser libÃ©ral mÃªme s'il voudrait se prÃ©senter comme Ã©tant moins Ã  droite que Andrew Scheer, il est tout de mÃªme Ã  droite."
1001276,5,,,,good government
1001277,,,,,
1001279,97,,,,un homme qui tÃ¢te le terrain avec des affirmations et son contraire tout dÃ©pendant des sondages
1001280,,,,,
1001281,,,,,
1001282,99,,,,"Sachant maintenant  qu'il Ã©tait militaire, cela appui ma premiÃ¨re impression d'une personne directifs et opportuniste."
1001283,,,,,
1001284,35,,,,beige drab aucun charisme il a tout ce qu.il faut pour Ãªtre un vraie conservateur inintÃ©ressant
1001285,,,,,
1001287,21,,,,boring
1001288,,,,,
1001294,7,10,,,Charismatic realist with the ability and intelligence to lead.
1001295,,,,,
1001296,,,,,
1001301,,,,,
1001302,,,,,
1001304,97,,,,An opportunist with no regard for poorer canadians
1001305,,,,,
1001306,97,,,,Much worse opinion now
1001307,35,,,,"mostly a typical conservative, trying to support lgbtq2"
1001310,,,,,
1001313,,,,,
1001314,16,,,,Sounds like a decent politician  but I need to do research on how much of that is accurate
1001316,97,,,,"As before, I would not offer my description of Mr. O'Toole"
1001317,,,,,
1001318,,,,,
1001319,24,18,,,Arrogant and dangerous
1001320,30,,,,As a right wing conservative
1001321,,,,,
1001323,12,,,,The leader Canada needs.
1001327,19,,,,isnt very welcoming and beneficial
1001328,21,,,,Again...bleh
1001329,,,,,
1001331,5,,,,Solide
1001334,,,,,
1001335,,,,,
1001336,,,,,
1001337,,,,,
1001338,,,,,
1001340,13,,,,ordinary person
1001341,33,,,,a politician - low expectations
1001342,,,,,
1001343,,,,,
1001344,15,14,,,leader that is needed to get the country back on track.  we need someone who is responsible with taxpayer's money
1001345,99,,,,dont know
1001346,25,,,,Autoritaire Dictacteur Oppresif
1001347,,,,,
1001348,97,,,,"Chef ressemblant finalement Ã  ses prÃ©dÃ©cesseurs, je ne sais plus pour qui voter!!!"
1001349,,,,,
1001351,,,,,
1001352,22,,,,Racist
1001353,,,,,
1001356,,,,,
1001358,24,,,,Not very trustworthy
1001359,,,,,
1001360,,,,,
1001361,10,,,,He is conscientious.
1001362,,,,,
1001366,,,,,
1001369,34,,,,Not good.
1001370,,,,,
1001371,,,,,
1001374,,,,,
1001376,,,,,
1001377,,,,,
1001379,,,,,
1001380,36,,,,Not sure anymore
1001382,15,,,,Better than Trudeau
1001384,20,,,,A'Tool
1001385,30,,,,Too conservative and not taking Covid seriously enough
1001386,36,,,,pas certain
1001387,,,,,
1001390,35,,,,Typical conservative
1001392,,,,,
1001393,14,,,,Une personne qui doit Ãªtre modÃ©rÃ© pour gouverner le Canada.
1001394,,,,,
1001397,97,,,,Well now he doesnât sound very good at all!
1001399,13,,,,Down to earth has been in previous positions where he can related to Canadian
1001400,36,,,,Not sure
1001401,,,,,
1001403,,,,,
1001406,,,,,
1001409,24,,,,Untrustworthy
1001411,97,,,,Une personne riche qui veut sâenrichire
1001412,18,,,,Elitiest for big business
1001413,,,,,
1001415,18,,,,"An ego maniac who would put Canada in the neutral zone in all parts and ruin most people's lives, making health care impossible for most and take away services"
1001416,,,,,
1001417,36,,,,not sure
1001418,36,,,,No comment
1001420,20,,,,He is a tool
1001421,,,,,
1001424,29,,,,Misinformed
1001426,,,,,
1001431,33,,,,Typical political figure
1001446,35,,,,A Conservative through and through
1001468,,,,,
1001479,,,,,
1001480,,,,,
1001481,,,,,
1001483,34,,,,like I said he's an idiot
1001486,,,,,
1001487,,,,,
1001489,35,,,,He was born in Ontario he support small businesses and has connections with the General Motors plant I think. Heâs a conservative I will probably will be running for election.
1001493,,,,,
1001494,19,,,,Despicable
1001495,,,,,
1001508,33,,,,another typical politician.
1001511,20,,,,A tool
1001523,,,,,
1001531,,,,,
1001545,15,,,,Erin O'Toole is the best choice we have for the next Prime Minister.  He may not be the strongest but we need a change and there is no one else.  Hopefully he can grow into the position of PM successfully.
1001548,97,,,,BiÃ¨re
1001550,13,,,,seems like a well rounded fellow
1001575,9,,,,strong
1001586,36,,,,Does not care about the average Canadians and only putting money into the rich people hands.
1001588,32,,,,Donald Trump
1001591,23,,,,greedy
1001600,,,,,
1001612,21,,,,Beurk
1001626,,,,,
1001645,,,,,
1001649,36,,,,non
1001653,98,,,,none
1001662,28,,,,Incompetent
1001663,27,,,,NOT REAL LEADER
1001675,,,,,
1001685,,,,,
1001686,,,,,
